date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:01	2208/2208	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228a0-647b57474d93c%22	https://doccure.dreamstechnologies.com/html/template/assets/img/flags/us-flag.svg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/flags/us-flag.svg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:01	30488/30488	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227718-647b57474b9ae%22	https://doccure.dreamstechnologies.com/html/template/assets/img/flags/arab-flag.svg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/flags/arab-flag.svg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:01	641/641	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22281-647b57474c1cc%22	https://doccure.dreamstechnologies.com/html/template/assets/img/flags/france-flag.svg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/flags/france-flag.svg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:01	6065/6065	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2217b1-647b5747e85d3%22	https://doccure.dreamstechnologies.com/html/template/assets/img/logo.svg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/logo.svg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:02	28642/28642	---M--	200	added ('OK')	image/jpeg	etag:%22232c8-647b574752f2d%22	https://doccure.dreamstechnologies.com/html/template/assets/img/home/home.jpg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/home/home.jpg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:03	65955/65955	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/index-2.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/index-2.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:03	25929/25929	---M--	200	added ('OK')	image/jpeg	etag:%2223dd1-647b57474f87c%22	https://doccure.dreamstechnologies.com/html/template/assets/img/home/home-01.jpg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/home/home-01.jpg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:03	70700/70700	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/index-3.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/index-3.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:04	24784/24784	---M--	200	added ('OK')	image/jpeg	etag:%2226c4e-647b57474fc64%22	https://doccure.dreamstechnologies.com/html/template/assets/img/home/home-02.jpg	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/assets/img/home/home-02.jpg	(from https://doccure.dreamstechnologies.com/html/template/index.html)
19:20:04	64626/64626	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Jan%202026%2010:15:29%20GMT	https://doccure.dreamstechnologies.com/html/template/index-4.html	C:/My%20Web%20Sites/docRabale, Navi Mumbai/doccure.dreamstechnologies.com/html/template/index-4.html	(from https://doccure.dreamstechnologies.com/html/template/index.html)
